sheet_row,old_job_number,agreement,client_type,council,job_sequence,lot_label,lot_number,notes,old_number_shared,postcode,project_number,project_type,respelled,skip_reason,source_stage,street,street_2,street_number,suburb,title_type,json
1,1200,PWA,Retail,City of Charles Sturt,1,Lot 611,611,,,5025,1001,residential,{'street_number': '#61'},,cancelling,Nelson Avenue,,61,Flinders Park,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Charles Sturt"",""job_sequence"":1,""lot_label"":""Lot 611"",""lot_number"":""611"",""postcode"":""5025"",""project_number"":1001,""project_type"":""residential"",""respelled"":{""street_number"":""#61""},""source_stage"":""cancelling"",""street"":""Nelson Avenue"",""street_number"":""61"",""suburb"":""Flinders Park""}"
2,1230,Contract,Retail,City of Tea Tree Gully,1,,,,,5092,1002,residential,{'street_number': '#28'},,cancelling,Primmer Avenue,,28,Modbury North,,"{""agreement"":""Contract"",""client_type"":""Retail"",""council"":""City of Tea Tree Gully"",""job_sequence"":1,""postcode"":""5092"",""project_number"":1002,""project_type"":""residential"",""respelled"":{""street_number"":""#28""},""source_stage"":""cancelling"",""street"":""Primmer Avenue"",""street_number"":""28"",""suburb"":""Modbury North""}"
3,1339 - D1,PWA,Developer,City of West Torrens,1,Lot 1,1,,,5037,1003,residential,{'street_number': '#72'},,on hold,Birdwood Terrace,,72,North Plympton,community,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of West Torrens"",""job_sequence"":1,""lot_label"":""Lot 1"",""lot_number"":""1"",""postcode"":""5037"",""project_number"":1003,""project_type"":""residential"",""respelled"":{""street_number"":""#72""},""source_stage"":""on hold"",""street"":""Birdwood Terrace"",""street_number"":""72"",""suburb"":""North Plympton"",""title_type"":""community""}"
4,1288,PWA,Retail,City of Tea Tree Gully,1,Lot 1,1,,True,5091,1004,residential,{'street_number': '#13'},,,Perserverance Road,,13,Tea Tree Gully,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Tea Tree Gully"",""job_sequence"":1,""lot_label"":""Lot 1"",""lot_number"":""1"",""old_number_shared"":true,""postcode"":""5091"",""project_number"":1004,""project_type"":""residential"",""respelled"":{""street_number"":""#13""},""street"":""Perserverance Road"",""street_number"":""13"",""suburb"":""Tea Tree Gully""}"
5,1288,PWA,Retail,City of Tea Tree Gully,2,Lot 2,2,,True,5091,1004,residential,{'street_number': '#13'},,,Perserverance Road,,13,Tea Tree Gully,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Tea Tree Gully"",""job_sequence"":2,""lot_label"":""Lot 2"",""lot_number"":""2"",""old_number_shared"":true,""postcode"":""5091"",""project_number"":1004,""project_type"":""residential"",""respelled"":{""street_number"":""#13""},""street"":""Perserverance Road"",""street_number"":""13"",""suburb"":""Tea Tree Gully""}"
6,1288,PWA,Retail,City of Tea Tree Gully,3,Lot 3,3,,True,5091,1004,residential,{'street_number': '#13'},,,Perserverance Road,,13,Tea Tree Gully,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Tea Tree Gully"",""job_sequence"":3,""lot_label"":""Lot 3"",""lot_number"":""3"",""old_number_shared"":true,""postcode"":""5091"",""project_number"":1004,""project_type"":""residential"",""respelled"":{""street_number"":""#13""},""street"":""Perserverance Road"",""street_number"":""13"",""suburb"":""Tea Tree Gully""}"
7,1216 - D3,PWA,Developer,City of Salisbury,1,Lot 3,3,,,5098,1005,residential,{'street_number': '#30'},,cancelling,Luprena Avenue,,30,Ingle Farm,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Salisbury"",""job_sequence"":1,""lot_label"":""Lot 3"",""lot_number"":""3"",""postcode"":""5098"",""project_number"":1005,""project_type"":""residential"",""respelled"":{""street_number"":""#30""},""source_stage"":""cancelling"",""street"":""Luprena Avenue"",""street_number"":""30"",""suburb"":""Ingle Farm""}"
8,1216 - D2,PWA,Developer,City of Salisbury,2,Lot 2,2,,,5098,1005,residential,{'street_number': '#30'},,cancelling,Luprena Avenue,,30,Ingle Farm,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Salisbury"",""job_sequence"":2,""lot_label"":""Lot 2"",""lot_number"":""2"",""postcode"":""5098"",""project_number"":1005,""project_type"":""residential"",""respelled"":{""street_number"":""#30""},""source_stage"":""cancelling"",""street"":""Luprena Avenue"",""street_number"":""30"",""suburb"":""Ingle Farm""}"
9,1216 - D1,PWA,Developer,City of Salisbury,3,Lot 1,1,,,5098,1005,residential,{'street_number': '#30'},,cancelling,Luprena Avenue,,30,Ingle Farm,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Salisbury"",""job_sequence"":3,""lot_label"":""Lot 1"",""lot_number"":""1"",""postcode"":""5098"",""project_number"":1005,""project_type"":""residential"",""respelled"":{""street_number"":""#30""},""source_stage"":""cancelling"",""street"":""Luprena Avenue"",""street_number"":""30"",""suburb"":""Ingle Farm""}"
10,1197 - D3,PWA,Developer,City of Port Adelaide Enfield,1,,,,,5088,1006,residential,{'street_number': '#1'},,cancelling,Waninga Drive,,1,Holden Hill,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Port Adelaide Enfield"",""job_sequence"":1,""postcode"":""5088"",""project_number"":1006,""project_type"":""residential"",""respelled"":{""street_number"":""#1""},""source_stage"":""cancelling"",""street"":""Waninga Drive"",""street_number"":""1"",""suburb"":""Holden Hill""}"
